Time data (V), Frequency (Hz), Spectrum (dBFS)
-0.056049,2368.000,-98.955822
0.001238,2372.000,-97.288881
-0.056556,2376.000,-101.222952
0.001278,2380.000,-94.494869
-0.056491,2384.000,-95.473452
0.001312,2388.000,-98.794716
-0.056356,2392.000,-98.594661
0.001132,2396.000,-105.109869
-0.056323,2400.000,-97.231037
0.001042,2404.000,-100.342618
-0.056280,2408.000,-105.034854
0.000964,2412.000,-98.889946
-0.056252,2416.000,-99.099426
0.000777,2420.000,-100.368791
-0.056169,2424.000,-99.796895
0.000598,2428.000,-108.333396
-0.056103,2432.000,-107.474905
0.000330,2436.000,-102.721078
-0.056196,2440.000,-123.008463
-0.000253,2444.000,-106.914664
-0.056345,2448.000,-103.496558
-0.000882,2452.000,-101.074617
-0.056350,2456.000,-105.822160
-0.001011,2460.000,-105.796819
-0.056306,2464.000,-100.913985
-0.001092,2468.000,-103.652487
-0.056184,2472.000,-108.406933
-0.001152,2476.000,-105.558191
-0.056313,2480.000,-102.903562
-0.001078,2484.000,-101.548638
-0.056242,2488.000,-100.612190
-0.001083,2492.000,-104.560049
-0.056291,2496.000,-110.996965
-0.001051,2500.000,-104.241925
-0.056068,2504.000,-98.781954
-0.001104,2508.000,-108.281417
-0.056141,2512.000,-104.594067
-0.001131,2516.000,-106.068249
-0.056166,2520.000,-112.147675
-0.001044,2524.000,-106.823412
-0.056038,2528.000,-102.927369
-0.000388,2532.000,-113.160511
-0.056038,2536.000,-112.647225
0.000688,2540.000,-113.680206
-0.055943,2544.000,-105.170350
0.001169,2548.000,-105.589471
-0.056008,2552.000,-109.371355
0.001451,2556.000,-109.778947
-0.056312,2560.000,-108.069285
0.001409,2564.000,-111.217367
-0.056201,2568.000,-106.721395
0.001294,2572.000,-107.771687
-0.055998,2576.000,-127.385258
0.001186,2580.000,-110.451545
-0.056132,2584.000,-110.479275
0.001081,2588.000,-110.162816
-0.055926,2592.000,-109.483581
0.000862,2596.000,-107.701753
-0.055934,2600.000,-109.459451
0.000620,2604.000,-112.963100
-0.055959,2608.000,-112.732019
0.000549,2612.000,-108.541231
-0.056062,2616.000,-116.887795
0.000032,2620.000,-115.191182
-0.056102,2624.000,-138.117079
-0.000523,2628.000,-113.812150
-0.056164,2632.000,-115.347145
-0.000900,2636.000,-121.182172
-0.056148,2640.000,-112.160146
-0.001050,2644.000,-111.194896
-0.056105,2648.000,-108.002853
-0.001142,2652.000,-111.172015
-0.055919,2656.000,-120.428112
-0.001164,2660.000,-112.678311
